abc,Petrol pump id,lat,lng,wait_time,name,address,phoneNumber,openingHours
54,55,37.743409,-122.475975,7.52237,Shell,2399 19Th Ave,14157311521,Mon-Sun: 24 Hours
55,56,37.7426258,-122.4052556,11.440571354166700,Shell,319 Bayshore Blvd,14158244855,Mon-Sun: 24 Hours
56,57,37.7792981,-122.4984606,8.72488888888890,76,7355 Geary Blvd,14156680604,"Mon-Fri: 06:30-21:00, Sat: 07:30-21:00"
57,58,37.753144,-122.388114,7.816666666666650,Loop,2890 3Rd St,14158210998,Mon-Sun: 24 Hours
58,59,37.7301553,-122.4296471,11.473327777777800,Nk Service,4199 Mission St,14154699886,
59,60,37.7290445,-122.4313316,4.4976,Shell,4298 Mission St,14153342610,Mon-Sun: 24 Hours
60,61,37.7424411,-122.4861128,3.301639285714290,76,1855 Taraval St,14157535897,Mon-Sun: 07:00-23:00
61,62,37.7566936,-122.50167450000000,15.3061,76,3601 Lawton St,14156655525,Mon-Sun: 24 Hours
62,63,37.7325046,-122.4059792,13.0563,Shell,2380 San Bruno Ave,14154683332,Mon-Sun: 24 Hours
63,64,37.7322243,-122.4058025,8.3,Silver Gas,2400 San Bruno Ave,14157156817,Mon-Sun: 24 Hours
64,67,37.7320958,-122.4039747,12.563,76,975 Bayshore Blvd,14154679786,Mon-Sun: 24 Hours
65,69,37.7231293,-122.4444223,4.488,Best Auto Care,2099 San Jose Ave,14153347585,
66,70,37.7638767,-122.5091575,6.372291666666650,76,1200 La Playa St,14156651902,
67,71,37.730488200000000,-122.4027404,7.495808333333350,Arco,2190 Carroll Ave,14154680446,Mon-Sun: 24 Hours
68,72,37.7246996,-122.4610835,16.45035972222220,Ingleside Valero,1799 Ocean Ave,14153341353,
69,73,37.7229983,-122.4529322,4.665791666666670,76,999 Ocean Ave,14155873628,Mon-Sun: 24 Hours
70,74,37.717795100000000,-122.4427927,8.268183333333350,Geneva Shell,2200 Alemany Blvd,14153378343,Mon-Sun: 24 Hours
71,75,37.7169521,-122.4410316,1.53,Circle K,5098 Mission St,14153379887,Mon-Sun: 24 Hours
72,79,37.7181952,-122.4729085,19.963783333333400,Chevron,1100 Junipero Serra Blvd,14155844565,Mon-Sun: 24 Hours
73,80,37.716195,-122.4720377,12.86178055555560,Gas And Shop,1101 Junipero Serra Blvd,14153342000,Mon-Sun: 24 Hours
74,81,37.7117609,-122.4556123,3.016458333333340,Chevron,2998 San Jose Ave,14155851146,Mon-Sun: 24 Hours
75,82,37.7090819,-122.4527442,17.439513,Arco,5898 Mission St,14155842266,Mon-Sun: 24 Hours
76,83,37.7056909,-122.4068867,0.8333333333333350,Chevron,2690 Bayshore Blvd,14153309888,Mon-Sun: 24 Hours
77,84,37.705085,-122.407218,0.8291666666666650,7-Eleven,2700 Bayshore Blvd,14154676984,Mon-Sun: 24 Hours
78,85,37.7036561,-122.4757865,9.69491309523810,76,101 S Mayfair Ave,16509940181,
79,86,37.7019236,-122.4843421,9.57512638888890,Chevron,892 John Daly Blvd,16507559447,Mon-Sun: 24 Hours
80,87,37.8587248,-122.4844171,13.45019772727280,Bridgeway Gas Station,1103 Bridgeway,14153324007,
